challenge_id,difficulty,no_pre_mine,no_pre_mine_hour,latest_submission
**D09C11,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,604763036,2025-11-08T09:59:59.000Z
**D09C12,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,507537379,2025-11-08T10:59:59.000Z
**D09C13,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,467110041,2025-11-08T11:59:59.000Z
**D09C14,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,538133824,2025-11-08T12:59:59.000Z
**D09C15,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,695548899,2025-11-08T13:59:59.000Z
**D09C17,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,892612581,2025-11-08T15:59:59.000Z
**D09C18,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,687317412,2025-11-08T16:59:59.000Z
**D09C19,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,311450373,2025-11-08T17:59:59.000Z
**D09C20,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,436242580,2025-11-08T18:59:59.000Z
**D09C21,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,510487060,2025-11-08T19:59:59.000Z
**D09C22,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,932337031,2025-11-08T20:59:59.000Z
**D09C23,00007777,9cf4f6c96afbd4c0980fedddd53b0619b7c46e46f100c7f046db64d27acf6e7e,080517095,2025-11-08T21:59:59.000Z
**D09C24,00007777,e09957f08a5073fcbb7a7ee8a2694957c839ab0d6ad29fce06199c887236be2c,448913623,2025-11-08T23:59:59.000Z
**D10C01,00007777,e09957f08a5073fcbb7a7ee8a2694957c839ab0d6ad29fce06199c887236be2c,448913623,2025-11-08T23:59:59.000Z
**D10C02,00007777,e09957f08a5073fcbb7a7ee8a2694957c839ab0d6ad29fce06199c887236be2c,855380743,2025-11-09T00:59:59.000Z
**D10C03,00007777,e09957f08a5073fcbb7a7ee8a2694957c839ab0d6ad29fce06199c887236be2c,327423667,2025-11-09T01:59:59.000Z
**D10C04,00007777,e09957f08a5073fcbb7a7ee8a2694957c839ab0d6ad29fce06199c887236be2c,042657500,2025-11-09T02:59:59.000Z
**D10C05,00007777,e09957f08a5073fcbb7a7ee8a2694957c839ab0d6ad29fce06199c887236be2c,366204242,2025-11-09T03:59:59.000Z
**D10C05,00007777,e09957f08a5073fcbb7a7ee8a2694957c839ab0d6ad29fce06199c887236be2c,366204242,2025-11-09T03:59:59.000Z
